'03.04.2023 17:09:08','638161385481942265','MouseMovement','None','X:804,Y:378'
'03.04.2023 17:09:08','638161385482082812','MouseMovement','None','X:815,Y:356'
'03.04.2023 17:09:08','638161385482191021','MouseMovement','None','X:830,Y:331'
'03.04.2023 17:09:08','638161385482299258','MouseMovement','None','X:840,Y:318'
'03.04.2023 17:09:08','638161385482514400','MouseMovement','None','X:858,Y:294'
'03.04.2023 17:09:08','638161385482616478','MouseMovement','None','X:874,Y:273'
'03.04.2023 17:09:08','638161385482724821','MouseMovement','None','X:881,Y:266'
'03.04.2023 17:09:08','638161385482833771','MouseMovement','None','X:883,Y:260'
'03.04.2023 17:09:08','638161385482936132','MouseMovement','None','X:884,Y:259'
'03.04.2023 17:09:08','638161385483899069','MouseMovement','None','X:884,Y:261'
'03.04.2023 17:09:08','638161385484109782','MouseMovement','None','X:884,Y:269'
'03.04.2023 17:09:08','638161385484218952','MouseMovement','None','X:888,Y:282'
'03.04.2023 17:09:08','638161385484324277','MouseMovement','None','X:891,Y:288'
'03.04.2023 17:09:08','638161385484538657','MouseMovement','None','X:895,Y:295'
'03.04.2023 17:09:08','638161385484643346','MouseMovement','None','X:897,Y:299'
'03.04.2023 17:09:08','638161385484697393','MouseMovement','None','X:897,Y:301'
'03.04.2023 17:09:08','638161385484865403','MouseMovement','None','X:898,Y:307'
'03.04.2023 17:09:08','638161385484949171','MouseMovement','None','X:899,Y:309'
'03.04.2023 17:09:08','638161385485072777','MouseMovement','None','X:899,Y:310'
'03.04.2023 17:09:08','638161385487097922','MouseMovement','None','X:898,Y:309'
'03.04.2023 17:09:08','638161385487204913','MouseMovement','None','X:897,Y:307'
'03.04.2023 17:09:08','638161385487313457','MouseMovement','None','X:894,Y:303'
'03.04.2023 17:09:08','638161385487629852','MouseMovement','None','X:890,Y:298'
'03.04.2023 17:09:08','638161385487695371','MouseMovement','None','X:888,Y:297'
'03.04.2023 17:09:08','638161385487736746','MouseMovement','None','X:887,Y:295'
'03.04.2023 17:09:08','638161385489460901','MouseMovement','None','X:886,Y:296'
'03.04.2023 17:09:08','638161385489534030','MouseMovement','None','X:885,Y:299'
'03.04.2023 17:09:08','638161385489561696','MouseMovement','None','X:883,Y:303'
'03.04.2023 17:09:08','638161385489764305','MouseMovement','None','X:881,Y:316'
'03.04.2023 17:09:08','638161385489920760','MouseMovement','None','X:881,Y:331'
'03.04.2023 17:09:08','638161385489976443','MouseMovement','None','X:881,Y:338'
'03.04.2023 17:09:09','638161385490243159','MouseMovement','None','X:881,Y:346'
'03.04.2023 17:09:09','638161385490405698','MouseMovement','None','X:881,Y:351'
'03.04.2023 17:09:09','638161385491456662','MouseMovement','None','X:881,Y:350'
'03.04.2023 17:09:09','638161385491577806','MouseMovement','None','X:880,Y:347'
'03.04.2023 17:09:09','638161385491700557','MouseMovement','None','X:879,Y:345'
'03.04.2023 17:09:09','638161385491791208','MouseMovement','None','X:876,Y:342'
'03.04.2023 17:09:09','638161385492003274','MouseMovement','None','X:874,Y:339'
'03.04.2023 17:09:09','638161385492110649','MouseMovement','None','X:872,Y:337'
'03.04.2023 17:09:09','638161385492215426','MouseMovement','None','X:870,Y:336'
'03.04.2023 17:09:09','638161385492430043','MouseMovement','None','X:867,Y:333'
'03.04.2023 17:09:09','638161385492536046','MouseMovement','None','X:863,Y:327'
'03.04.2023 17:09:09','638161385492646406','MouseMovement','None','X:862,Y:324'
'03.04.2023 17:09:09','638161385492799938','MouseMovement','None','X:858,Y:320'
'03.04.2023 17:09:09','638161385492855543','MouseMovement','None','X:857,Y:319'
'03.04.2023 17:09:09','638161385494479115','MouseMovement','None','X:858,Y:319'
'03.04.2023 17:09:09','638161385494700602','MouseMovement','None','X:861,Y:322'
'03.04.2023 17:09:09','638161385494884128','MouseMovement','None','X:864,Y:324'
'03.04.2023 17:09:09','638161385495019921','MouseMovement','None','X:868,Y:327'
'03.04.2023 17:09:09','638161385495202624','MouseMovement','None','X:873,Y:331'
'03.04.2023 17:09:09','638161385495312980','MouseMovement','None','X:876,Y:334'
'03.04.2023 17:09:09','638161385498087024','MouseMovement','None','X:876,Y:335'
'03.04.2023 17:09:09','638161385498405306','MouseMovement','None','X:876,Y:340'
'03.04.2023 17:09:09','638161385498510133','MouseMovement','None','X:876,Y:346'
'03.04.2023 17:09:09','638161385498618200','MouseMovement','None','X:876,Y:347'
'03.04.2023 17:09:09','638161385498833681','MouseMovement','None','X:876,Y:350'
'03.04.2023 17:09:10','638161385501820056','MouseMovement','None','X:876,Y:351'
'03.04.2023 17:09:10','638161385501924202','MouseMovement','None','X:876,Y:353'
'03.04.2023 17:09:10','638161385502136838','MouseMovement','None','X:876,Y:358'
'03.04.2023 17:09:10','638161385502245432','MouseMovement','None','X:876,Y:365'
'03.04.2023 17:09:10','638161385502353125','MouseMovement','None','X:876,Y:369'
'03.04.2023 17:09:10','638161385502565125','MouseMovement','None','X:876,Y:372'
'03.04.2023 17:09:10','638161385502671331','MouseMovement','None','X:876,Y:373'
'03.04.2023 17:09:10','638161385502711719','MouseMovement','None','X:876,Y:374'
'03.04.2023 17:09:10','638161385505874737','MouseMovement','None','X:876,Y:375'
'03.04.2023 17:09:10','638161385505980243','MouseMovement','None','X:875,Y:377'
'03.04.2023 17:09:10','638161385506083435','MouseMovement','None','X:875,Y:378'
'03.04.2023 17:09:10','638161385506192827','MouseMovement','None','X:875,Y:382'
'03.04.2023 17:09:10','638161385506296456','MouseMovement','None','X:874,Y:385'
'03.04.2023 17:09:10','638161385506402524','MouseMovement','None','X:874,Y:387'
'03.04.2023 17:09:10','638161385506672045','MouseMovement','None','X:874,Y:388'
'03.04.2023 17:09:10','638161385506734875','MouseMovement','None','X:874,Y:389'
'03.04.2023 17:09:10','638161385507047039','MouseMovement','None','X:874,Y:391'
'03.04.2023 17:09:10','638161385507256258','MouseMovement','None','X:874,Y:394'
'03.04.2023 17:09:10','638161385507366629','MouseMovement','None','X:874,Y:397'
'03.04.2023 17:09:10','638161385507578721','MouseMovement','None','X:874,Y:399'
'03.04.2023 17:09:10','638161385507712872','MouseMovement','None','X:874,Y:400'
'03.04.2023 17:09:11','638161385510243690','MouseMovement','None','X:874,Y:402'
'03.04.2023 17:09:11','638161385510352842','MouseMovement','None','X:874,Y:404'
'03.04.2023 17:09:11','638161385510563670','MouseMovement','None','X:874,Y:410'
'03.04.2023 17:09:11','638161385510712877','MouseMovement','None','X:874,Y:415'
'03.04.2023 17:09:11','638161385510778359','MouseMovement','None','X:874,Y:418'
'03.04.2023 17:09:11','638161385510990247','MouseMovement','None','X:874,Y:422'
'03.04.2023 17:09:11','638161385511202029','MouseMovement','None','X:874,Y:424'
'03.04.2023 17:09:11','638161385511311450','MouseMovement','None','X:874,Y:425'
'03.04.2023 17:09:11','638161385511524551','MouseMovement','None','X:874,Y:426'
'03.04.2023 17:09:11','638161385511631006','MouseMovement','None','X:874,Y:428'
'03.04.2023 17:09:11','638161385511847206','MouseMovement','None','X:874,Y:429'
'03.04.2023 17:09:11','638161385514722465','MouseMovement','None','X:874,Y:430'
'03.04.2023 17:09:11','638161385514833305','MouseMovement','None','X:874,Y:433'
'03.04.2023 17:09:11','638161385514937953','MouseMovement','None','X:874,Y:434'
'03.04.2023 17:09:11','638161385515154177','MouseMovement','None','X:874,Y:440'
'03.04.2023 17:09:11','638161385515257019','MouseMovement','None','X:874,Y:443'
'03.04.2023 17:09:11','638161385515368650','MouseMovement','None','X:874,Y:445'
'03.04.2023 17:09:11','638161385515896132','MouseMovement','None','X:874,Y:446'
'03.04.2023 17:09:11','638161385516005974','MouseMovement','None','X:874,Y:447'
'03.04.2023 17:09:11','638161385516111429','MouseMovement','None','X:874,Y:448'
'03.04.2023 17:09:11','638161385518350428','MouseMovement','None','X:874,Y:449'
'03.04.2023 17:09:11','638161385518459069','MouseMovement','None','X:874,Y:450'
'03.04.2023 17:09:11','638161385518566534','MouseMovement','None','X:874,Y:451'
'03.04.2023 17:09:11','638161385518777984','MouseMovement','None','X:874,Y:454'
